t_diff,prcp_diff,county
22.5,34.0,01003
67.0,114.0,01005
-2.5,0.0,01009
53.0,43.0,01011
47.5,0.0,01013
8.5,10.0,01017
17.0,0.0,01019
-2.5,-25.0,01021
7.0,0.0,01025
36.5,0.0,01033
8.5,3.0,01035
25.0,0.0,01037
0.0,0.0,01039
47.5,0.0,01041
36.5,0.0,01043
14.0,3.0,01045
9.5,0.0,01047
-8.5,0.0,01049
22.0,0.0,01051
9.0,3.0,01053
-5.5,0.0,01055
-6.0,0.0,01059
-8.0,190.0,01061
0.0,0.0,01065
-11.5,0.0,01071
0.0,0.0,01073
52.5,0.0,01077
16.5,0.0,01079
49.5,0.0,01081
30.5,0.0,01083
-2.5,0.0,01089
39.0,0.0,01093
22.0,0.0,01095
11.5,41.0,01097
13.5,3.0,01101
22.5,0.0,01103
5.5,0.0,01107
56.0,102.0,01109
27.5,0.0,01111
8.5,0.0,01117
10.5,0.0,01119
58.5,0.0,01121
19.5,0.0,01123
8.0,0.0,01125
8.5,0.0,01127
-9.0,0.0,01133
10.0,135.0,02013
-8.0,-53.0,02016
11.0,0.0,02020
-27.5,-13.0,02050
2.5,-3.0,02060
-58.0,25.0,02068
8.5,0.0,02090
11.0,-51.0,02100
0.0,-21.0,02110
-0.5,127.0,02122
-3.0,102.0,02130
-16.5,-35.0,02150
8.0,-36.0,02164
-17.0,-38.0,02170
-37.0,0.0,02180
-8.5,0.0,02185
1.0,7.0,02188
-8.5,23.0,02201
-6.0,813.0,02220
0.0,66.0,02232
58.5,0.0,02240
-8.5,-607.0,02261
-5.5,-15.0,02280
0.0,178.0,02282
27.5,-51.0,02290
-37.0,0.0,04001
-5.0,0.0,04003
-33.5,0.0,04005
-5.5,0.0,04007
-3.0,0.0,04009
-22.5,0.0,04011
-30.5,0.0,04012
-19.5,0.0,04013
-3.0,0.0,04015
-25.5,0.0,04017
8.5,0.0,04019
-5.5,0.0,04021
-3.0,0.0,04023
-24.5,0.0,04025
-19.0,0.0,04027
-11.5,0.0,05001
27.5,0.0,05003
-19.5,0.0,05005
-14.0,0.0,05007
-8.5,0.0,05009
39.0,0.0,05017
2.5,0.0,05019
-11.5,0.0,05021
-8.0,0.0,05023
2.5,0.0,05025
-2.5,0.0,05029
0.0,0.0,05031
16.5,0.0,05033
3.0,0.0,05035
5.5,0.0,05037
2.5,0.0,05039
5.5,0.0,05041
-8.5,0.0,05043
14.0,0.0,05045
-8.5,0.0,05049
-10.5,3.0,05051
-11.0,0.0,05053
-8.5,0.0,05055
6.0,0.0,05057
8.0,0.0,05059
-14.0,0.0,05061
-2.5,0.0,05063
-14.0,0.0,05067
-3.5,0.0,05069
0.0,0.0,05071
-5.5,0.0,05073
22.5,0.0,05077
22.5,0.0,05079
0.0,0.0,05081
-11.0,0.0,05083
8.0,0.0,05085
-8.0,0.0,05087
-22.5,0.0,05089
5.5,0.0,05091
-6.0,0.0,05093
19.5,0.0,05095
2.5,0.0,05097
0.0,0.0,05099
31.0,0.0,05101
8.5,0.0,05103
-25.0,0.0,05105
11.0,0.0,05107
-5.0,0.0,05109
3.0,0.0,05113
3.0,0.0,05115
11.0,0.0,05117
-3.0,0.0,05119
-11.0,0.0,05121
13.5,0.0,05123
2.5,0.0,05125
0.5,0.0,05127
3.0,0.0,05129
2.5,0.0,05131
22.0,0.0,05133
6.0,0.0,05135
-2.5,0.0,05137
28.0,0.0,05139
-16.5,0.0,05141
-11.0,0.0,05143
-0.5,0.0,05145
-11.0,0.0,05149
5.5,0.0,06001
-84.0,0.0,06003
-19.0,0.0,06007
-36.0,0.0,06009
17.0,0.0,06011
-10.5,0.0,06013
-5.5,0.0,06015
-55.0,0.0,06017
-32.5,0.0,06019
-2.5,0.0,06021
2.5,0.0,06023
-9.0,0.0,06025
33.5,0.0,06027
-2.5,0.0,06029
-27.0,0.0,06031
5.5,0.0,06035
-5.0,0.0,06037
0.5,0.0,06039
19.5,0.0,06041
-14.0,0.0,06043
2.0,3.0,06045
3.0,0.0,06047
-44.5,0.0,06049
41.5,8.0,06051
-39.0,0.0,06053
-41.5,0.0,06055
33.5,3.0,06057
8.5,0.0,06059
-5.5,0.0,06061
55.5,0.0,06063
-2.5,0.0,06065
-16.5,0.0,06067
5.5,0.0,06071
-36.0,0.0,06073
-17.0,0.0,06075
-27.0,0.0,06077
-30.5,0.0,06079
-33.5,0.0,06081
-14.0,0.0,06083
-9.0,0.0,06085
13.5,0.0,06087
6.0,0.0,06089
-30.5,0.0,06091
-8.0,0.0,06093
-17.0,0.0,06095
5.0,0.0,06097
-16.5,0.0,06099
11.5,0.0,06103
3.0,0.0,06105
-19.5,0.0,06107
55.5,-8.0,06109
0.5,0.0,06111
-22.5,0.0,06113
0.0,0.0,06115
-55.0,0.0,08001
-5.5,0.0,08003
-44.0,0.0,08005
-0.5,0.0,08007
-52.5,0.0,08009
-27.5,0.0,08011
-49.5,-25.0,08013
-54.0,0.0,08015
-21.5,0.0,08017
-19.0,0.0,08019
-37.0,25.0,08021
-49.0,-25.0,08023
-36.0,3.0,08025
-28.0,0.0,08027
-41.0,-25.0,08029
-27.5,0.0,08031
-47.0,0.0,08033
-36.5,0.0,08035
-26.5,0.0,08037
-44.5,0.0,08039
-61.0,0.0,08041
-53.5,0.0,08043
-39.0,0.0,08045
-52.5,-51.0,08047
5.5,0.0,08049
-47.5,-25.0,08051
19.5,0.0,08053
